a,b,n_pos,n_neg,mu_pos,mu_neg,edge,sign
PEBBLES_L,PEBBLES_M,2528,2544,3.0504351265822787,-0.8569182389937107,-3.9073533655759896,-1.0
PEBBLES_L,PEBBLES_M,2031,2251,0.6962087641555884,1.068414038205242,0.37220527404965364,1.0
PEBBLES_L,PEBBLES_S,1862,2283,-0.7545649838882922,-0.4724047306176084,0.2821602532706838,-1.0
PEBBLES_L,PEBBLES_S,2690,2452,1.6607806691449813,-2.655383360522023,-4.3161640296670045,1.0
PEBBLES_L,PEBBLES_XL,1515,900,0.8122112211221122,2.3722222222222222,1.56001100110011,-1.0
PEBBLES_L,PEBBLES_XL,2650,3491,1.4852830188679245,-0.4568891435118877,-1.942172162379812,1.0
PEBBLES_L,PEBBLES_XS,1870,2950,-0.22139037433155082,-1.8649152542372882,-1.6435248799057374,-1.0
PEBBLES_L,PEBBLES_XS,2639,1755,-0.007389162561576354,0.41452991452991456,0.4219190770914909,1.0
PEBBLES_M,PEBBLES_L,2528,2544,-1.0282832278481013,-0.293435534591195,0.7348476932569064,-1.0
PEBBLES_M,PEBBLES_L,2251,2031,-0.05752998667258996,0.4263909404234367,0.4839209270960267,1.0
PEBBLES_M,PEBBLES_S,2181,2303,-0.728794131132508,0.39709075119409465,1.1258848823266026,-1.0
PEBBLES_M,PEBBLES_S,2691,2565,0.7525083612040134,-1.6011695906432748,-2.3536779518472883,1.0
PEBBLES_M,PEBBLES_XL,1911,1064,-0.2208267922553637,0.5347744360902256,0.7556012283455893,-1.0
PEBBLES_M,PEBBLES_XL,2514,3333,-0.40771678599840894,-0.3355835583558356,0.07213322764257335,1.0
PEBBLES_M,PEBBLES_XS,1647,2620,0.22374013357619915,0.1830152671755725,-0.04072486640062664,-1.0
PEBBLES_M,PEBBLES_XS,3115,2103,-1.3781701444622794,-2.0161673799334285,-0.6379972354711492,1.0
PEBBLES_S,PEBBLES_L,1862,2283,-0.4253490870032223,-0.736311870346036,-0.31096278334281363,-1.0
PEBBLES_S,PEBBLES_L,2452,2690,0.8311582381729201,-0.6434944237918215,-1.4746526619647415,1.0
PEBBLES_S,PEBBLES_M,2181,2303,0.7191655204034847,0.022796352583586626,-0.6963691678198981,-1.0
PEBBLES_S,PEBBLES_M,2565,2691,-0.8009746588693957,-0.9273504273504274,-0.12637576848103171,1.0
PEBBLES_S,PEBBLES_XL,2069,1579,1.2464958917351376,-0.6956934768841039,-1.9421893686192415,-1.0
PEBBLES_S,PEBBLES_XL,2267,3198,-1.351345390383767,-0.8542839274546592,0.4970614629291079,1.0
PEBBLES_S,PEBBLES_XS,1433,2652,-2.883810188415911,0.21266968325791855,3.0964798716738295,-1.0
PEBBLES_S,PEBBLES_XS,2881,2342,0.8542172856646998,-3.5006404782237404,-4.3548577638884405,1.0
PEBBLES_XL,PEBBLES_L,1515,900,1.1191419141914192,6.006666666666667,4.887524752475247,-1.0
PEBBLES_XL,PEBBLES_L,3491,2650,1.1934975651675737,-0.1960377358490566,-1.3895353010166303,1.0
PEBBLES_XL,PEBBLES_M,1911,1064,1.1750392464678179,-1.712875939849624,-2.887915186317442,-1.0
PEBBLES_XL,PEBBLES_M,3333,2514,2.1896189618961897,1.5898965791567223,-0.5997223827394673,1.0
PEBBLES_XL,PEBBLES_S,2069,1579,5.221362977283712,3.284990500316656,-1.9363724769670556,-1.0
PEBBLES_XL,PEBBLES_S,3198,2267,1.048780487804878,3.9708866343184828,2.9221061465136047,1.0
PEBBLES_XL,PEBBLES_XS,1511,1754,4.671409662475182,-0.8540478905359179,-5.525457553011099,-1.0
PEBBLES_XL,PEBBLES_XS,3575,1898,0.9413986013986014,4.415964172813488,3.474565571414886,1.0
PEBBLES_XS,PEBBLES_L,1870,2950,-1.141711229946524,-0.3228813559322034,0.8188298740143205,-1.0
PEBBLES_XS,PEBBLES_L,1755,2639,-2.3863247863247863,0.9352027283061766,3.321527514630963,1.0
PEBBLES_XS,PEBBLES_M,1647,2620,-4.183970856102004,2.0826335877862596,6.266604443888264,-1.0
PEBBLES_XS,PEBBLES_M,2103,3115,0.3594864479315264,-1.22215088282504,-1.5816373307565663,1.0
PEBBLES_XS,PEBBLES_S,1433,2652,-1.1406140963014655,-0.01809954751131222,1.1225145487901533,-1.0
PEBBLES_XS,PEBBLES_S,2342,2881,-2.9807856532877883,-1.1166261714682402,1.8641594818195482,1.0
PEBBLES_XS,PEBBLES_XL,1511,1754,-2.3266048974189277,-1.6522234891676169,0.6743814082513109,-1.0
PEBBLES_XS,PEBBLES_XL,1898,3575,-1.4926238145416229,0.6451748251748252,2.137798639716448,1.0
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1764,2382,-0.9767573696145124,-0.16855583543240973,0.8082015341821027,-1.0
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2599,2165,0.455559830704117,0.7676674364896073,0.31210760578549035,1.0
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,2240,2214,0.1982142857142857,0.7046070460704607,0.506392760356175,-1.0
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1934,2260,-0.6690796277145812,0.15376106194690264,0.8228406896614838,1.0
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2144,2113,-0.6683768656716418,-0.13345953620444864,0.5349173294671932,-1.0
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2109,2456,0.07847321005215742,0.7455211726384365,0.6670479625862791,1.0
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,3125,3277,-0.13472,0.4522429050961245,0.5869629050961245,1.0
SNACKPACK_PISTACHIO,SNACKPACK_CHOCOLATE,1764,2382,-0.4552154195011338,-0.9162468513853904,-0.4610314318842566,-1.0
SNACKPACK_PISTACHIO,SNACKPACK_CHOCOLATE,2165,2599,-0.8110854503464203,-0.5498268564832628,0.26125859386315753,1.0
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,175,217,1.6857142857142857,-0.868663594470046,-2.5543778801843318,-1.0
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,2927,3671,0.10334813802528185,-0.47779896485971124,-0.581147102884993,1.0
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,3118,3508,-0.011225144323284156,-0.4806157354618016,-0.46939059113851744,-1.0
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,87,244,-1.0862068965517242,-0.8258196721311475,0.2603872244205767,1.0
SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,2088,2661,-0.5275383141762452,-0.5496054114994363,-0.02206709732319112,-1.0
SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,1885,2222,-0.6350132625994694,-0.7495499549954996,-0.11453669239603015,1.0
SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,2240,2214,0.440625,0.7278681120144534,0.28724311201445346,-1.0
SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,2260,1934,0.6754424778761062,0.4366597724922441,-0.23878270538386215,1.0
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,175,217,-3.32,4.649769585253456,7.969769585253456,-1.0
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,3671,2927,0.5258785072187415,-0.09873590707208746,-0.624614414290829,1.0
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,3273,3256,0.37183012526733883,-0.04775798525798526,-0.4195881105253241,1.0
SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,2094,2072,0.8512416427889207,0.5086872586872587,-0.34255438410166195,-1.0
SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,2353,2151,0.08988525286867828,0.4537424453742445,0.36385719250556625,1.0
SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,2144,2113,-0.5995802238805971,-0.7560340747752011,-0.15645385089460406,-1.0
SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,2456,2109,-0.4110342019543974,0.18610715979137032,0.5971413617457677,1.0
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,3118,3508,0.5242142398973701,-0.1257126567844926,-0.6499268966818628,-1.0
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,244,87,-1.0942622950819672,-1.1494252873563218,-0.055162992274354616,1.0
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,3256,3273,0.5582002457002457,-0.058814543232508405,-0.6170147889327542,1.0
SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,2379,2201,0.04812946616225305,0.4238982280781463,0.37576876191589326,-1.0
SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,2282,1969,-0.6549079754601227,-0.9083291010665312,-0.2534211256064085,1.0
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,3277,3125,-0.3062252059810803,0.12656,0.4327852059810803,1.0
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,2088,2661,-0.6352969348659003,0.057309282224727545,0.6926062170906279,-1.0
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,2222,1885,0.35103510351035105,0.870026525198939,0.5189914216885879,1.0
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,2094,2072,-0.10744985673352435,0.5378861003861004,0.6453359571196248,-1.0
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,2151,2353,-0.7343096234309623,0.32341691457713556,1.0577265380080978,1.0
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,2379,2201,-0.6254728877679697,0.2737392094502499,0.8992120972182196,-1.0
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,1969,2282,0.17318435754189945,0.5670464504820333,0.39386209294013386,1.0
